Customer ID,Age,Gender,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
2701,22,Female,68,California,XL,Olive,Winter,3.2,No,No,36,Cash,Weekly
521,51,Male,84,South Carolina,M,White,Spring,3.9,Yes,Yes,20,Debit Card,Quarterly
3157,18,Female,50,Montana,M,Black,Winter,3.1,No,No,18,Cash,Monthly
1687,22,Male,75,Illinois,L,Red,Fall,4.2,No,No,25,Cash,Annually
2929,40,Female,80,Alabama,L,Yellow,Spring,3.6,No,No,17,Credit Card,Weekly
3583,23,Female,41,California,S,Beige,Summer,3.4,No,No,15,PayPal,Annually
1135,62,Male,81,Wisconsin,M,Brown,Summer,,No,Yes,2,Venmo,Every 3 Months
1411,61,Male,93,Tennessee,M,Purple,Summer,4,No,Yes,18,Debit Card,Annually
113,37,Male,65,Florida,M,Red,Spring,4.3,Yes,Yes,28,PayPal,Bi-Weekly
166,42,Male,60,Kentucky,S,Yellow,Winter,2.8,Yes,Yes,7,Cash,Monthly
4568,35,Other,,Phoenix,M,Blue,Autumn,,No,Yes,41,Credit Card,Monthly
947,46,Male,24,Pennsylvania,XL,Blue,Spring,2.8,Yes,Yes,4,PayPal,Quarterly
4776,64,Other,884.04,Los Angeles,,Black,Spring,,No,No,,Credit Card,Quarterly
3855,57,Female,20,Florida,M,Black,Spring,4.2,No,No,4,Venmo,Annually
481,68,Male,88,Vermont,M,Gray,Summer,4.8,Yes,Yes,30,Debit Card,Bi-Weekly
3790,56,Female,75,North Dakota,M,Magenta,Summer,3.8,No,No,18,Bank Transfer,Every 3 Months
3617,42,Female,23,Wisconsin,L,Purple,Winter,3.3,No,No,33,Debit Card,Fortnightly
2659,52,Female,47,Ohio,XL,Indigo,Summer,3.2,No,No,39,PayPal,Monthly
3725,30,Female,71,Colorado,L,Green,Winter,3.1,No,No,18,Bank Transfer,Annually
2134,21,Male,34,Maine,M,Olive,Summer,3.8,No,No,13,Bank Transfer,Annually
4256,70,Male,,Los Angeles,,Green,Autumn,,Yes,Yes,25,Cash,Weekly
833,58,Male,80,California,L,Blue,Fall,2.5,Yes,Yes,28,Cash,Bi-Weekly
1106,33,Male,83,Massachusetts,S,Olive,Spring,3,No,Yes,6,Venmo,Every 3 Months
3047,60,Female,49,Pennsylvania,M,White,Spring,3.2,No,No,25,Cash,Every 3 Months
4685,68,Other,1032.09,Phoenix,L,Black,Summer,,No,No,,PayPal,Monthly
1612,41,Male,26,Arkansas,L,Yellow,Winter,4.5,No,Yes,6,Debit Card,Monthly
4289,34,Female,1282.44,New York,S,Red,Autumn,,No,Yes,36,PayPal,Weekly
3552,66,Female,31,Montana,L,Black,Spring,2.6,No,No,20,Venmo,Weekly
2918,58,Female,45,Colorado,XL,White,Winter,2.9,No,No,50,Venmo,Annually
1192,34,Male,70,Indiana,L,Charcoal,Winter,4.1,No,Yes,50,Venmo,Quarterly
1907,23,Male,30,Vermont,M,Green,Spring,4.6,No,No,24,PayPal,Fortnightly
1332,38,Male,91,Maryland,M,Lavender,Spring,3.2,No,Yes,8,PayPal,Bi-Weekly
316,66,Male,24,Wisconsin,XL,Orange,Spring,4.5,Yes,Yes,24,Debit Card,Annually
347,49,Male,50,New Mexico,L,Violet,Spring,4.7,Yes,Yes,5,Cash,Weekly
3115,21,Female,56,Arkansas,M,Olive,Spring,4.7,No,No,45,Venmo,Bi-Weekly
5042,46,Other,,Los Angeles,M,White,Summer,,Yes,No,31,PayPal,Monthly
1498,69,Male,33,Michigan,S,Magenta,Spring,3.8,No,Yes,16,Debit Card,Every 3 Months
1606,70,Male,46,Connecticut,M,Lavender,Winter,3.4,No,Yes,15,Credit Card,Bi-Weekly
4418,67,Female,,Los Angeles,,Red,Autumn,,No,No,47,PayPal,Quarterly
4894,24,Other,,Los Angeles,L,Red,Spring,,No,No,4,PayPal,Quarterly
4576,65,Male,,New York,S,Black,Summer,,No,Yes,47,Cash,Weekly
2486,43,Male,55,Louisiana,M,Beige,Spring,4.6,No,No,37,Bank Transfer,Annually
187,39,Male,56,Minnesota,S,Lavender,Summer,2.9,Yes,Yes,31,Debit Card,Annually
