Order Id,Order Date,Ship Mode,Segment,Category,Sub Category,Product Id,cost price,List Price,Quantity,Discount Percent,Customer ID
1,01-03-2023,Second Class,Consumer,Furniture,Bookcases,FUR-BO-10001798,240,260,2,2,782
2,15-08-2023,Second Class,Consumer,Furniture,Chairs,FUR-CH-10000454,600,730,3,3,2827
3,10-01-2023,Second Class,Corporate,Office Supplies,Labels,OFF-LA-10000240,10,10,2,5,1806
4,18-06-2022,Standard Class,Consumer,Furniture,Tables,FUR-TA-10000577,780,960,5,2,1642
5,13-07-2022,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10000760,20,20,2,5,1349
6,13-03-2022,Not Available,Consumer,Furniture,Furnishings,FUR-FU-10001487,50,50,7,3,4993
7,28-12-2022,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10002833,10,10,4,3,1433
8,25-01-2022,Standard Class,Consumer,Technology,Phones,TEC-PH-10002275,860,910,6,5,2231
9,23-03-2023,Not Available,Consumer,Office Supplies,Binders,OFF-BI-10003910,20,20,3,2,3199
10,16-05-2023,Standard Class,Consumer,Office Supplies,Appliances,OFF-AP-10002892,90,110,5,3,1993
11,31-03-2023,Not Available,Consumer,Furniture,Tables,FUR-TA-10001539,1470,1710,9,3,797
12,25-12-2023,Not Available,Consumer,Technology,Phones,TEC-PH-10002033,750,910,4,3,1206
13,11-02-2022,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10002365,20,20,3,3,3749
14,18-07-2023,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003656,360,410,3,2,1673
15,09-11-2023,unknown,Home Office,Office Supplies,Appliances,OFF-AP-10002311,60,70,5,5,294
16,18-06-2022,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10000756,0,0,3,5,2694
17,04-02-2022,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10004186,610,670,6,3,185
18,04-08-2023,Second Class,Consumer,Office Supplies,Storage,OFF-ST-10000107,60,60,2,4,1557
19,23-01-2022,Second Class,Consumer,Office Supplies,Art,OFF-AR-10003056,10,10,2,4,1082
20,11-01-2022,Second Class,Consumer,Technology,Phones,TEC-PH-10001949,170,210,3,3,1264
21,05-10-2022,Second Class,Consumer,Office Supplies,Binders,OFF-BI-10002215,20,20,4,2,2427
22,16-07-2023,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10000246,20,20,7,4,1173
23,06-05-2023,Standard Class,Corporate,Office Supplies,Appliances,OFF-AP-10001492,50,60,7,3,1011
24,21-05-2023,Second Class,Consumer,Furniture,Chairs,FUR-CH-10002774,60,70,2,4,3107
25,24-02-2023,Standard Class,Consumer,Furniture,Tables,FUR-TA-10000577,900,1040,3,5,3166
26,20-06-2022,Second Class,Consumer,Office Supplies,Binders,OFF-BI-10001634,10,10,2,5,85
27,08-02-2022,Second Class,Consumer,Technology,Accessories,TEC-AC-10003027,80,90,3,3,1952
28,11-12-2023,Standard Class,Consumer,Furniture,Bookcases,FUR-BO-10004834,2740,3080,7,3,4655
29,21-08-2022,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10000474,10,10,2,5,193
30,14-08-2022,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10004848,100,120,3,4,4668
31,20-11-2022,Standard Class,Consumer,Office Supplies,Envelopes,OFF-EN-10001509,0,0,2,5,3427
32,19-01-2023,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004042,70,90,6,4,4500
33,30-01-2023,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10001525,10,10,6,5,3
34,03-06-2022,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10001683,20,20,2,4,788
35,28-09-2022,Second Class,Home Office,Office Supplies,Paper,OFF-PA-10000249,30,30,3,3,4221
36,30-10-2022,First Class,Corporate,Technology,Phones,TEC-PH-10004977,1020,1100,7,5,3745
37,27-07-2023,First Class,Corporate,Furniture,Furnishings,FUR-FU-10003664,180,190,5,4,1283
38,07-03-2023,Standard Class,Home Office,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,2,4826
39,18-08-2023,Standard Class,Home Office,Furniture,Bookcases,FUR-BO-10002545,460,530,3,2,2259
