order_id,order_date,ship_mode,segment,category,sub_category,product_id,cost_price,list_price,quantity,discount_percent,customer_id
1,2023-03-01,Second Class,Consumer,Furniture,Bookcases,FUR-BO-10001798,240.0,260.0,2,2,782
2,2023-08-15,Second Class,Consumer,Furniture,Chairs,FUR-CH-10000454,600.0,730.0,3,3,2827
3,2023-01-10,Second Class,Corporate,Office Supplies,Labels,OFF-LA-10000240,10.0,10.0,2,5,1806
4,2022-06-18,Standard Class,Consumer,Furniture,Tables,FUR-TA-10000577,780.0,960.0,5,2,1642
5,2022-07-13,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10000760,20.0,20.0,2,5,1349
6,2022-03-13,Not Available,Consumer,Furniture,Furnishings,FUR-FU-10001487,50.0,50.0,7,3,4993
7,2022-12-28,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10002833,10.0,10.0,4,3,1433
8,2022-01-25,Standard Class,Consumer,Technology,Phones,TEC-PH-10002275,860.0,910.0,6,5,2231
9,2023-03-23,Not Available,Consumer,Office Supplies,Binders,OFF-BI-10003910,20.0,20.0,3,2,3199
10,2023-05-16,Standard Class,Consumer,Office Supplies,Appliances,OFF-AP-10002892,90.0,110.0,5,3,1993
11,2023-03-31,Not Available,Consumer,Furniture,Tables,FUR-TA-10001539,1470.0,1710.0,9,3,797
12,2023-12-25,Not Available,Consumer,Technology,Phones,TEC-PH-10002033,750.0,910.0,4,3,1206
13,2022-02-11,Standard Class,Consumer,Office Supplies,Paper,OFF-PA-10002365,20.0,20.0,3,3,3749
14,2023-07-18,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10003656,360.0,410.0,3,2,1673
15,2023-11-09,unknown,Home Office,Office Supplies,Appliances,OFF-AP-10002311,60.0,70.0,5,5,294
16,2022-06-18,Standard Class,Home Office,Office Supplies,Binders,OFF-BI-10000756,20.0,20.0,3,5,2694
17,2022-02-04,Standard Class,Consumer,Office Supplies,Storage,OFF-ST-10004186,610.0,670.0,6,3,185
18,2023-08-04,Second Class,Consumer,Office Supplies,Storage,OFF-ST-10000107,60.0,60.0,2,4,1557
19,2022-01-23,Second Class,Consumer,Office Supplies,Art,OFF-AR-10003056,10.0,10.0,2,4,1082
20,2022-01-11,Second Class,Consumer,Technology,Phones,TEC-PH-10001949,170.0,210.0,3,3,1264
21,2022-10-05,Second Class,Consumer,Office Supplies,Binders,OFF-BI-10002215,20.0,20.0,4,2,2427
22,2023-07-16,Standard Class,Corporate,Office Supplies,Art,OFF-AR-10000246,20.0,20.0,7,4,1173
23,2023-05-06,Standard Class,Corporate,Office Supplies,Appliances,OFF-AP-10001492,50.0,60.0,7,3,1011
24,2023-05-21,Second Class,Consumer,Furniture,Chairs,FUR-CH-10002774,60.0,70.0,2,4,3107
25,2023-02-24,Standard Class,Consumer,Furniture,Tables,FUR-TA-10000577,900.0,1040.0,3,5,3166
26,2022-06-20,Second Class,Consumer,Office Supplies,Binders,OFF-BI-10001634,10.0,10.0,2,5,85
27,2022-02-08,Second Class,Consumer,Technology,Accessories,TEC-AC-10003027,80.0,90.0,3,3,1952
28,2023-12-11,Standard Class,Consumer,Furniture,Bookcases,FUR-BO-10004834,2740.0,3080.0,7,3,4655
29,2022-08-21,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10000474,10.0,10.0,2,5,193
30,2022-08-14,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10004848,100.0,120.0,3,4,4668
31,2022-11-20,Standard Class,Consumer,Office Supplies,Envelopes,OFF-EN-10001509,10.0,10.0,2,5,3427
32,2023-01-19,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10004042,70.0,90.0,6,4,4500
33,2023-01-30,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10001525,10.0,10.0,6,5,3
34,2022-06-03,Standard Class,Consumer,Office Supplies,Art,OFF-AR-10001683,20.0,20.0,2,4,788
35,2022-09-28,Second Class,Home Office,Office Supplies,Paper,OFF-PA-10000249,30.0,30.0,3,3,4221
36,2022-10-30,First Class,Corporate,Technology,Phones,TEC-PH-10004977,1020.0,1100.0,7,5,3745
37,2023-07-27,First Class,Corporate,Furniture,Furnishings,FUR-FU-10003664,180.0,190.0,5,4,1283
38,2023-03-07,Standard Class,Home Office,Office Supplies,Envelopes,OFF-EN-10002986,90.0,110.0,9,2,4826
39,2023-08-18,Standard Class,Home Office,Furniture,Bookcases,FUR-BO-10002545,460.0,530.0,3,2,2259
40,2022-01-20,Standard Class,Home Office,Furniture,Chairs,FUR-CH-10004218,200.0,210.0,3,2,4785
41,2023-06-29,Standard Class,Home Office,Technology,Phones,TEC-PH-10000486,350.0,370.0,4,5,4548
42,2022-06-28,Standard Class,Corporate,Technology,Phones,TEC-PH-10004093,140.0,150.0,4,3,217
43,2023-02-09,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10003479,70.0,80.0,2,5,111
44,2023-09-18,Standard Class,Corporate,Office Supplies,Storage,OFF-ST-10003282,90.0,100.0,2,4,3003
45,2022-11-11,First Class,Corporate,Technology,Accessories,TEC-AC-10000171,40.0,50.0,2,2,240
46,2022-05-27,First Class,Corporate,Office Supplies,Binders,OFF-BI-10003291,20.0,20.0,2,5,4734
47,2023-02-03,Second Class,Consumer,Office Supplies,Storage,OFF-ST-10001713,180.0,210.0,4,4,1943
48,2022-02-16,Standard Class,Consumer,Technology,Accessories,TEC-AC-10002167,50.0,50.0,3,5,3852
49,2022-05-06,Standard Class,Consumer,Technology,Phones,TEC-PH-10003988,20.0,20.0,2,4,970
50,2023-06-18,Standard Class,Consumer,Office Supplies,Binders,OFF-BI-10004410,30.0,40.0,6,4,1341
51,2022-01-11,Standard Class,Consumer,Office Supplies,Labels,OFF-LA-10002762,70.0,80.0,6,4,273
52,2023-09-09,Standard Class,Consumer,Furniture,Furnishings,FUR-FU-10001706,10.0,10.0,2,4,3115
53,2022-01-31,Standard Class,Consumer,Furniture,Chairs,FUR-CH-10003061,70.0,90.0,1,5,4744
54,2023-07-30,Standard Class,Corporate,Office Supplies,Fasteners,OFF-FA-10000304,20.0,20.0,7,3,1881
55,2023-10-17,Standard Class,Corporate,Technology,Phones,TEC-PH-10002447,850.0,1030.0,5,4,817
